[11-Feb-2021 11:31:02 UTC] PHP Warning:  mysqli_real_connect(): (HY000/1045): Access denied for user ' opetitcoin'@'localhost' (using password: YES) in /var/www/html/Apotheose/OpetitCoin/project-site-de-notation/backend/wordpress/wp/wp-includes/wp-db.php on line 1653
[16-Feb-2021 11:21:13 UTC] PHP  11. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:21:13 UTC] PHP Warning:  Illegal offset type in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1388
[16-Feb-2021 11:21:13 UTC] PHP Stack trace:
[16-Feb-2021 11:21:13 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/plugins.php:0
[16-Feb-2021 11:21:13 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/plugins.php:10
[16-Feb-2021 11:21:13 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:34
[16-Feb-2021 11:21:13 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:21:13 UTC] PHP   5. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:21:13 UTC] PHP   6. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:21:13 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:21:13 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:21:13 UTC] PHP   9. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:21:13 UTC] PHP  10. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:21:13 UTC] PHP  11. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:21:16 UTC] PHP Notice:  Array to string conversion in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1360
[16-Feb-2021 11:21:16 UTC] PHP Stack trace:
[16-Feb-2021 11:21:16 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/plugins.php:0
[16-Feb-2021 11:21:16 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/plugins.php:10
[16-Feb-2021 11:21:16 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:34
[16-Feb-2021 11:21:16 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:21:16 UTC] PHP   5. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:21:16 UTC] PHP   6. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:21:16 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:21:16 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:21:16 UTC] PHP   9. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:21:16 UTC] PHP  10. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:21:16 UTC] PHP  11. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:21:16 UTC] PHP Warning:  Illegal offset type in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1388
[16-Feb-2021 11:21:16 UTC] PHP Stack trace:
[16-Feb-2021 11:21:16 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/plugins.php:0
[16-Feb-2021 11:21:16 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/plugins.php:10
[16-Feb-2021 11:21:16 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:34
[16-Feb-2021 11:21:16 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:21:16 UTC] PHP   5. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:21:16 UTC] PHP   6. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:21:16 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:21:16 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:21:16 UTC] PHP   9. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:21:16 UTC] PHP  10. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:21:16 UTC] PHP  11. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:21:45 UTC] PHP Notice:  Array to string conversion in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1360
[16-Feb-2021 11:21:45 UTC] PHP Stack trace:
[16-Feb-2021 11:21:45 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:0
[16-Feb-2021 11:21:45 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:34
[16-Feb-2021 11:21:45 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:21:45 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:21:45 UTC] PHP   5. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:21:45 UTC] PHP   6. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:21:45 UTC] PHP   7. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:21:45 UTC] PHP   8. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:21:45 UTC] PHP   9. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:21:45 UTC] PHP  10. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:21:45 UTC] PHP Warning:  Illegal offset type in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1388
[16-Feb-2021 11:21:45 UTC] PHP Stack trace:
[16-Feb-2021 11:21:45 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:0
[16-Feb-2021 11:21:45 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:34
[16-Feb-2021 11:21:45 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:21:45 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:21:45 UTC] PHP   5. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:21:45 UTC] PHP   6. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:21:45 UTC] PHP   7. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:21:45 UTC] PHP   8. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:21:45 UTC] PHP   9. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:21:45 UTC] PHP  10. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:21:48 UTC] PHP Notice:  Array to string conversion in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1360
[16-Feb-2021 11:21:48 UTC] PHP Stack trace:
[16-Feb-2021 11:21:48 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:0
[16-Feb-2021 11:21:48 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:34
[16-Feb-2021 11:21:48 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:21:48 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:21:48 UTC] PHP   5. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:21:48 UTC] PHP   6. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:21:48 UTC] PHP   7. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:21:48 UTC] PHP   8. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:21:48 UTC] PHP   9. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:21:48 UTC] PHP  10. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:21:48 UTC] PHP Warning:  Illegal offset type in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1388
[16-Feb-2021 11:21:48 UTC] PHP Stack trace:
[16-Feb-2021 11:21:48 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:0
[16-Feb-2021 11:21:48 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:34
[16-Feb-2021 11:21:48 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:21:48 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:21:48 UTC] PHP   5. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:21:48 UTC] PHP   6. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:21:48 UTC] PHP   7. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:21:48 UTC] PHP   8. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:21:48 UTC] PHP   9. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:21:48 UTC] PHP  10. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:22:19 UTC] PHP Notice:  Array to string conversion in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1360
[16-Feb-2021 11:22:19 UTC] PHP Stack trace:
[16-Feb-2021 11:22:19 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin-ajax.php:0
[16-Feb-2021 11:22:19 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin-ajax.php:22
[16-Feb-2021 11:22:19 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:22:19 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:22:19 UTC] PHP   5. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:22:19 UTC] PHP   6. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:22:19 UTC] PHP   7. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:22:19 UTC] PHP   8. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:22:19 UTC] PHP   9. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:22:19 UTC] PHP  10. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:22:19 UTC] PHP Warning:  Illegal offset type in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1388
[16-Feb-2021 11:22:19 UTC] PHP Stack trace:
[16-Feb-2021 11:22:19 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin-ajax.php:0
[16-Feb-2021 11:22:19 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin-ajax.php:22
[16-Feb-2021 11:22:19 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:22:19 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:22:19 UTC] PHP   5. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:22:19 UTC] PHP   6. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:22:19 UTC] PHP   7. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:22:19 UTC] PHP   8. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:22:19 UTC] PHP   9. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:22:19 UTC] PHP  10. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:22:29 UTC] PHP Notice:  Array to string conversion in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1360
[16-Feb-2021 11:22:29 UTC] PHP Stack trace:
[16-Feb-2021 11:22:29 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:0
[16-Feb-2021 11:22:29 UTC] PHP   2. require() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:17
[16-Feb-2021 11:22:29 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-blog-header.php:13
[16-Feb-2021 11:22:29 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:22:29 UTC] PHP   5. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:22:29 UTC] PHP   6. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:22:29 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:22:29 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:22:29 UTC] PHP   9. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:22:29 UTC] PHP  10. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:22:29 UTC] PHP  11. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:22:29 UTC] PHP Warning:  Illegal offset type in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1388
[16-Feb-2021 11:22:29 UTC] PHP Stack trace:
[16-Feb-2021 11:22:29 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:0
[16-Feb-2021 11:22:29 UTC] PHP   2. require() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:17
[16-Feb-2021 11:22:29 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-blog-header.php:13
[16-Feb-2021 11:22:29 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:22:29 UTC] PHP   5. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:22:29 UTC] PHP   6. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:22:29 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:22:29 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:22:29 UTC] PHP   9. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:22:29 UTC] PHP  10. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:22:29 UTC] PHP  11. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:22:29 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'OpetitCoin\Rest\RestFields' does not have a method 'registerMetaFieldsAvis' in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php on line 287
[16-Feb-2021 11:22:29 UTC] PHP Stack trace:
[16-Feb-2021 11:22:29 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:0
[16-Feb-2021 11:22:29 UTC] PHP   2. require() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:17
[16-Feb-2021 11:22:29 UTC] PHP   3. wp() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-blog-header.php:16
[16-Feb-2021 11:22:29 UTC] PHP   4. WP->main() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/functions.php:1291
[16-Feb-2021 11:22:29 UTC] PHP   5. WP->parse_request() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:745
[16-Feb-2021 11:22:29 UTC] PHP   6. do_action_ref_array() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp.php:388
[16-Feb-2021 11:22:29 UTC] PHP   7. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:551
[16-Feb-2021 11:22:29 UTC] PHP   8. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:22:29 UTC] PHP   9. rest_api_loaded() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:22:29 UTC] PHP  10. rest_get_server() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:347
[16-Feb-2021 11:22:29 UTC] PHP  11. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/rest-api.php:521
[16-Feb-2021 11:22:29 UTC] PHP  12. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:22:29 UTC] PHP  13. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:22:49 UTC] PHP Notice:  Array to string conversion in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1360
[16-Feb-2021 11:22:49 UTC] PHP Stack trace:
[16-Feb-2021 11:22:49 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin-ajax.php:0
[16-Feb-2021 11:22:49 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin-ajax.php:22
[16-Feb-2021 11:22:49 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:22:49 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:22:49 UTC] PHP   5. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:22:49 UTC] PHP   6. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:22:49 UTC] PHP   7. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:22:49 UTC] PHP   8. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:22:49 UTC] PHP   9. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:22:49 UTC] PHP  10. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:22:49 UTC] PHP Warning:  Illegal offset type in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1388
[16-Feb-2021 11:22:49 UTC] PHP Stack trace:
[16-Feb-2021 11:22:49 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin-ajax.php:0
[16-Feb-2021 11:22:49 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin-ajax.php:22
[16-Feb-2021 11:22:49 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
[16-Feb-2021 11:22:49 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp-config.php:128
[16-Feb-2021 11:22:49 UTC] PHP   5. do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-settings.php:557
[16-Feb-2021 11:22:49 UTC] PHP   6. WP_Hook->do_action() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/plugin.php:484
[16-Feb-2021 11:22:49 UTC] PHP   7. WP_Hook->apply_filters() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:311
[16-Feb-2021 11:22:49 UTC] PHP   8. OpetitCoin\Rest\Comments::registerMetas() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/class-wp-hook.php:287
[16-Feb-2021 11:22:49 UTC] PHP   9. register_post_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/Rest/Comments.php:109
[16-Feb-2021 11:22:49 UTC] PHP  10. register_meta() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/post.php:2200
[16-Feb-2021 11:23:22 UTC] PHP Notice:  Array to string conversion in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-includes/meta.php on line 1360
[16-Feb-2021 11:23:22 UTC] PHP Stack trace:
[16-Feb-2021 11:23:22 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/plugins.php:0
[16-Feb-2021 11:23:22 UTC] PHP   2. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/plugins.php:10
[16-Feb-2021 11:23:22 UTC] PHP   3. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-admin/admin.php:34
[16-Feb-2021 11:23:22 UTC] PHP   4. require_once() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/wp/wp-load.php:42
